sym,date,exchg,cusip,sec_type,gics_code,sect_code,cat_code,index,co_name
AAON,11062012,NASDAQ,360206,1,2010,,,S&P SMALLCAP,AAON   INC.
ABAX,11062012,NASDAQ,2567105,1,3510,,,S&P SMALLCAP,ABAXIS INC.
