"RUE",41.99,41.99,42.49,26.21,N/A,651260,"10/10/2013","3:00pm"
"RUTH",15.53,15.411,15.99,10.39,535.7M,219967,"2/27/2015","9:50am"
"RYL",44.96,45.33,46.67,30.33,2.099B,1053320,"2/27/2015","9:50am"
"SAFM",85.67,84.725,103.90,73.21,1.963B,503443,"2/27/2015","9:51am"
"SAFT",58.89,58.5525,65.98,48.43,878.8M,43774,"2/27/2015","9:40am"
"SAH",25.01,24.9994,27.87,21.76,1.279B,221379,"2/27/2015","9:50am"
"SAM",278.78,274.10,325.00,208.82,3.562B,105739,"2/27/2015","9:50am"
"SBRA",32.72,32.162,33.86,24.01,1.905B,618998,"2/27/2015","9:48am"
"SCL",40.92,40.94,66.51,36.34,929.5M,89357,"2/27/2015","9:48am"
"SCOR",52.12,52.15,55.40,27.41,1.757B,301679,"2/27/2015","9:42am"
"SCSC",37.70,37.00,42.99,31.32,1.060B,124556,"2/27/2015","9:50am"
"SCSS",31.47,31.70,32.95,16.51,1.674B,910805,"2/27/2015","9:51am"
"SENEA",27.34,27.34,32.65,25.06,293.4M,18716,"2/26/2015","4:00pm"
"SF",55.83,55.18,56.33,41.47,3.658B,523361,"2/27/2015","9:49am"
"SFNC",40.99,40.81,43.22,33.27,736.7M,59069,"2/27/2015","9:44am"
"SFY",3.07,3.02,13.12,1.99,132.5M,3388770,"2/27/2015","9:50am"
"SGY",16.99,16.78,50.00,12.07,921.3M,1502610,"2/27/2015","9:50am"
"SHFL",23.19,23.19,23.25,16.815,N/A,0,"11/22/2013","4:00pm"
"SHLM",42.96,42.70,43.17,28.67,1.239B,152403,"2/27/2015","9:49am"
"SHOO",36.77,36.32,38.16,28.02,2.180B,653434,"2/27/2015","9:50am"
"SIGI",27.63,27.43,28.16,21.97,1.552B,242741,"2/27/2015","9:49am"
"SIGM",7.51,7.46,7.60,3.28,259.5M,366439,"2/27/2015","9:48am"
"SJI",56.25,55.99,61.23,52.25,1.854B,157561,"2/27/2015","9:49am"
"SKT",35.45,35.27,40.80,32.39,3.310B,719746,"2/27/2015","9:51am"
"SKX",68.76,68.30,70.25,33.07,3.463B,1013740,"2/27/2015","9:50am"
"SKYW",15.00,14.88,15.74,7.01,763.9M,543149,"2/27/2015","9:49am"
"SLXP",156.95,156.95,172.98,86.00,10.001B,2424380,"2/27/2015","9:51am"
"SMA",N/A,0.00,N/A,N/A,N/A,0,"N/A","N/A"
"SMCI",41.13,40.52,42.00,16.40,1.886B,485080,"2/27/2015","9:50am"
"SMP",41.51,41.73,45.80,32.62,955.3M,67357,"2/27/2015","9:50am"
"SMRT",16.46,16.3597,16.65,11.25,735.2M,194793,"2/27/2015","9:50am"
"SMSC",N/A,0.00,N/A,N/A,N/A,0,"N/A","N/A"
"SNCR",45.14,45.13,54.05,27.78,1.860B,552092,"2/27/2015","9:49am"
"SNX",78.31,75.565,80.24,57.50,2.982B,183989,"2/27/2015","9:51am"
"SONC",32.60,32.36,33.15,18.61,1.732B,881216,"2/27/2015","9:50am"
